Year,Country,Sector,Expenditure(million USD),GDP(%)
2000,Brazil,Housing and community amenities,6480.414,0.9887
2000,Brazil,Health,25159.483,3.83852
2000,Brazil,Education,30618.75,4.67142
2000,Brazil,Social protection,71893.029,10.96853
2000,Brazil,General public services,69447.297,10.59539
2000,Brazil,Defence,12469.521,1.90244
2000,Brazil,Public order and safety,10434.453,1.59196
2000,Brazil,"Recreation, culture and religion",225.229,0.03436
2000,Brazil,"General economic, commercial and labour affairs",3128.549,0.47731
2000,Brazil,Others,523.11,0.07981
2000,Bulgaria,Total function,5693.389,42.98195
2000,Bulgaria,"Agriculture, forestry, fishing and hunting",87.148,0.65792
2000,Bulgaria,"Mining, manufacturing and construction",5.605,0.04231
2000,Bulgaria,Transport,277.015,2.09131
2000,Bulgaria,Communication,3.824,0.02887
2000,Bulgaria,Fuel and energy,52.099,0.39332
2000,Bulgaria,Environment protection,144.023,1.08729
2000,Bulgaria,Housing and community amenities,40.927,0.30898
2000,Bulgaria,Health,507.282,3.8297
2000,Bulgaria,Education,558.957,4.21982
2000,Bulgaria,Social protection,1677.79,12.66639
2000,Bulgaria,General public services,1434.388,10.82884
2000,Bulgaria,Defence,421.542,3.18241
2000,Bulgaria,Public order and safety,268.957,2.03048
2000,Bulgaria,"Recreation, culture and religion",117.116,0.88416
2000,Bulgaria,"General economic, commercial and labour affairs",96.497,0.7285
2000,Bulgaria,Other industries,0.203,0.00153
2000,"China, Macao SAR",Total function,1116.206,16.47732
2000,"China, Macao SAR",Environment protection,27.256,0.40235
2000,"China, Macao SAR",Housing and community amenities,6.336,0.09353
2000,"China, Macao SAR",Health,146.853,2.16783
2000,"China, Macao SAR",Education,172.883,2.55208
2000,"China, Macao SAR",Social protection,125.668,1.8551
2000,"China, Macao SAR",General public services,233.602,3.44841
2000,"China, Macao SAR",Defence,0,0
2000,"China, Macao SAR",Public order and safety,225.227,3.32478
2000,"China, Macao SAR","Recreation, culture and religion",81.55,1.20384
2000,Croatia,Total function,1579.531,7.24294
2000,Croatia,"Agriculture, forestry, fishing and hunting",39.34,0.18039
2000,Croatia,"Mining, manufacturing and construction",5.492,0.02518
2000,Croatia,Transport,197.227,0.90439
2000,Croatia,Communication,0.231,0.00106
2000,Croatia,Fuel and energy,1.121,0.00514
2000,Croatia,Environment protection,19.193,0.08801
2000,Croatia,Housing and community amenities,69.045,0.31661
2000,Croatia,Health,205.581,0.94269
2000,Croatia,Education,176.935,0.81134
2000,Croatia,Social protection,498.427,2.28554
2000,Croatia,General public services,124.493,0.57086
2000,Croatia,Defence,48.403,0.22195
2000,Croatia,Public order and safety,89.259,0.4093
2000,Croatia,"Recreation, culture and religion",43.905,0.20133
2000,Croatia,"General economic, commercial and labour affairs",40.092,0.18384
2000,Croatia,Other industries,4.563,0.02092
2000,Croatia,RandD Economic affairs,2.607,0.01195
2000,Croatia,Economic affairs n.e.c.,13.619,0.06245
2000,Cyprus,Total function,3369.616,33.82175
2000,Cyprus,"Agriculture, forestry, fishing and hunting",180.659,1.81332
2000,Cyprus,"Mining, manufacturing and construction",2.032,0.0204
2000,Cyprus,Transport,100.951,1.01327
2000,Cyprus,Communication,13.023,0.13071
2000,Cyprus,Fuel and energy,7.389,0.07416
2000,Cyprus,Environment protection,21.058,0.21137
2000,Cyprus,Housing and community amenities,189.156,1.89861
2000,Cyprus,Health,240.416,2.41312
2000,Cyprus,Education,497.92,4.99775
2000,Cyprus,Social protection,796.246,7.99214
2000,Cyprus,General public services,779.806,7.82713
2000,Cyprus,Defence,168.836,1.69466
2000,Cyprus,Public order and safety,175.117,1.7577
2000,Cyprus,"Recreation, culture and religion",81.001,0.81303
2000,Cyprus,"General economic, commercial and labour affairs",25.122,0.25216
2000,Cyprus,Other industries,71.857,0.72125
2000,Cyprus,RandD Economic affairs,17.364,0.17429
2000,Cyprus,Economic affairs n.e.c.,1.663,0.01669
2000,Czechia,Total function,25253.031,40.84698
2000,Czechia,"Agriculture, forestry, fishing and hunting",655.96,1.06102
2000,Czechia,"Mining, manufacturing and construction",91.221,0.14755
2000,Czechia,Transport,2215.868,3.58418
2000,Czechia,Communication,7.254,0.01173
2000,Czechia,Fuel and energy,133.062,0.21523
2000,Czechia,Environment protection,538.105,0.87039
2000,Czechia,Housing and community amenities,755.005,1.22123
2000,Czechia,Health,4192.659,6.78166
2000,Czechia,Education,2714.282,4.39037
2000,Czechia,Social protection,7588.291,12.27412
2000,Czechia,General public services,2187.732,3.53867
2000,Czechia,Defence,1055.691,1.70759
2000,Czechia,Public order and safety,1155.384,1.86884
2000,Czechia,"Recreation, culture and religion",799.23,1.29276
2000,Czechia,"General economic, commercial and labour affairs",380.663,0.61573
2000,Czechia,Other industries,44.536,0.07204
2000,Czechia,RandD Economic affairs,193.246,0.31258
2000,Czechia,Economic affairs n.e.c.,544.841,0.88128
2000,Denmark,Total function,86489.488,52.68678
2000,Denmark,"Agriculture, forestry, fishing and hunting",347.637,0.21177
2000,Denmark,"Mining, manufacturing and construction",99.59,0.06067
2000,Denmark,Transport,2685.217,1.63575
2000,Denmark,Communication,61.981,0.03776
2000,Denmark,Fuel and energy,602.488,0.36702
2000,Denmark,Environment protection,825.669,0.50297
2000,Denmark,Housing and community amenities,1169.223,0.71226
2000,Denmark,Health,10979.515,6.68839
2000,Denmark,Education,10322.84,6.28836
2000,Denmark,Social protection,36687.085,22.34866
2000,Denmark,General public services,14003.462,8.53049
2000,Denmark,Defence,2358.241,1.43657
2000,Denmark,Public order and safety,1481.849,0.9027
2000,Denmark,"Recreation, culture and religion",2567.318,1.56393
2000,Denmark,"General economic, commercial and labour affairs",1610.264,0.98092
2000,Denmark,Other industries,63.713,0.03881
2000,Denmark,RandD Economic affairs,313.121,0.19074
2000,Denmark,Economic affairs n.e.c.,310.152,0.18893
2000,Estonia,Total function,2072.956,36.42639
2000,Estonia,"Agriculture, forestry, fishing and hunting",49.598,0.87155
2000,Estonia,"Mining, manufacturing and construction",2.956,0.05194
2000,Estonia,Transport,163.572,2.87432
2000,Estonia,Communication,4.064,0.07141
2000,Estonia,Fuel and energy,3.879,0.06817
2000,Estonia,Environment protection,30.294,0.53234
2000,Estonia,Housing and community amenities,21.797,0.38303
2000,Estonia,Health,257.965,4.53301
2000,Estonia,Education,365.012,6.41406
2000,Estonia,Social protection,599.055,10.52671
2000,Estonia,General public services,202.179,3.55273
2000,Estonia,Defence,68.44,1.20264
2000,Estonia,Public order and safety,156.922,2.75746
2000,Estonia,"Recreation, culture and religion",112.219,1.97193
2000,Estonia,"General economic, commercial and labour affairs",13.947,0.24507
2000,Estonia,Other industries,3.787,0.06654
2000,Estonia,RandD Economic affairs,12.838,0.2256
2000,Estonia,Economic affairs n.e.c.,4.249,0.07466
2000,Finland,Total function,60419.962,48.06429
2000,Finland,Environment protection,394.383,0.31373
2000,Finland,Housing and community amenities,539.39,0.42909
2000,Finland,Health,7206.949,5.73315
2000,Finland,Education,7376.893,5.86834
2000,Finland,Social protection,24613.351,19.58001
2000,Finland,General public services,9457.793,7.52371
2000,Finland,Defence,1751.169,1.39306
2000,Finland,Public order and safety,1623.711,1.29167
2000,Finland,"Recreation, culture and religion",1417.745,1.12782
2000,France,Total function,705385.07,51.68205
2000,France,"Agriculture, forestry, fishing and hunting",5736.558,0.42031
2000,France,"Mining, manufacturing and construction",398.077,0.02917
2000,France,Transport,27779.495,2.03534
2000,France,Communication,212.431,0.01556
2000,France,Fuel and energy,3229.873,0.23665
2000,France,Environment protection,9505.82,0.69647
2000,France,Housing and community amenities,14137.737,1.03584
2000,France,Health,95351.912,6.98623
2000,France,Education,76478.814,5.60344
2000,France,Social protection,278338.031,20.39323
2000,France,General public services,106499.916,7.80302
2000,France,Defence,26519.687,1.94304
2000,France,Public order and safety,18529.515,1.35762
2000,France,"Recreation, culture and religion",14819.363,1.08578
2000,France,"General economic, commercial and labour affairs",12062.38,0.88378
2000,France,Other industries,4155.333,0.30445
2000,France,RandD Economic affairs,10632.628,0.77903
2000,France,Economic affairs n.e.c.,995.654,0.07295
2000,Georgia,Total function,489.331,15.21118
2000,Georgia,"Agriculture, forestry, fishing and hunting",6.882,0.21393
2000,Georgia,"Mining, manufacturing and construction",0.152,0.00472
2000,Georgia,Transport,25.048,0.77865
2000,Georgia,Communication,0,0
2000,Georgia,Fuel and energy,12.803,0.39798
2000,Georgia,Environment protection,0,0
2000,Georgia,Housing and community amenities,25.048,0.77865
2000,Georgia,Health,19.28,0.59932
2000,Georgia,Education,65.835,2.04651
2000,Georgia,Social protection,105.355,3.27504
2000,Georgia,General public services,129.392,4.02223
2000,Georgia,Defence,15.029,0.46719
2000,Georgia,Public order and safety,38.053,1.18292
2000,Georgia,"Recreation, culture and religion",23.429,0.72831
2000,Georgia,"General economic, commercial and labour affairs",0,0
2000,Georgia,Other industries,0,0
2000,Georgia,RandD Economic affairs,0,0
2000,Georgia,Economic affairs n.e.c.,23.024,0.71573
2000,Germany,Total function,930312.434,47.87666
2000,Germany,"Agriculture, forestry, fishing and hunting",6294.42,0.32393
2000,Germany,"Mining, manufacturing and construction",5482.564,0.28215
2000,Germany,Transport,35596.951,1.83193
2000,Germany,Communication,154.243,0.00794
2000,Germany,Fuel and energy,5692.224,0.29294
2000,Germany,Environment protection,13901.292,0.7154
2000,Germany,Housing and community amenities,18483.334,0.95121
2000,Germany,Health,126003.842,6.48453
2000,Germany,Education,79246.88,4.07828
2000,Germany,Social protection,392654.479,20.20717
2000,Germany,General public services,132783.158,6.83342
2000,Germany,Defence,21233.853,1.09276
2000,Germany,Public order and safety,30726.742,1.58129
2000,Germany,"Recreation, culture and religion",24059.183,1.23816
2000,Germany,"General economic, commercial and labour affairs",25100.095,1.29173
2000,Germany,Other industries,5019.834,0.25834
2000,Germany,RandD Economic affairs,2883.518,0.14839
2000,Germany,Economic affairs n.e.c.,4995.82,0.2571
2000,Greece,Total function,60565.893,45.98106
2000,Greece,Environment protection,576.334,0.43755
2000,Greece,Housing and community amenities,507.987,0.38566
2000,Greece,Health,7328.866,5.56401
2000,Greece,Education,5025.376,3.81522
2000,Greece,Social protection,17703.805,13.44056
2000,Greece,General public services,15720.809,11.93509
2000,Greece,Defence,3123.658,2.37145
2000,Greece,Public order and safety,1382.648,1.04969
2000,Greece,"Recreation, culture and religion",718.571,0.54553
2000,Hungary,Total function,22356.509,47.34702
2000,Hungary,"Agriculture, forestry, fishing and hunting",737.159,1.56117
2000,Hungary,"Mining, manufacturing and construction",53.328,0.11294
2000,Hungary,Transport,1221.359,2.58662
2000,Hungary,Communication,49.851,0.10558
2000,Hungary,Fuel and energy,3.873,0.0082
2000,Hungary,Environment protection,303.747,0.64328
2000,Hungary,Housing and community amenities,395.543,0.83769
2000,Hungary,Health,2475.697,5.24307
2000,Hungary,Education,2507.421,5.31026
2000,Hungary,Social protection,6887.39,14.58624
2000,Hungary,General public services,4612.367,9.76815
2000,Hungary,Defence,571.527,1.21039
2000,Hungary,Public order and safety,929.154,1.96778
2000,Hungary,"Recreation, culture and religion",620.035,1.31312
2000,Hungary,"General economic, commercial and labour affairs",534.331,1.13162
2000,Hungary,Other industries,159.735,0.33829
2000,Hungary,RandD Economic affairs,24.864,0.05266
2000,Hungary,Economic affairs n.e.c.,269.127,0.56996
2000,Iceland,Total function,4045.82,44.82572
2000,Iceland,"Agriculture, forestry, fishing and hunting",128.475,1.42344
2000,Iceland,"Mining, manufacturing and construction",8.942,0.09908
2000,Iceland,Transport,309.688,3.43119
2000,Iceland,Communication,3.795,0.04205
2000,Iceland,Fuel and energy,23.855,0.26431
2000,Iceland,Environment protection,64.769,0.71761
2000,Iceland,Housing and community amenities,39.872,0.44176
2000,Iceland,Health,700.42,7.76032
2000,Iceland,Education,639.518,7.08554
2000,Iceland,Social protection,709.099,7.85647
2000,Iceland,General public services,883.302,9.78656
2000,Iceland,Defence,1.788,0.01981
2000,Iceland,Public order and safety,133.723,1.48158
2000,Iceland,"Recreation, culture and religion",278.422,3.08478
2000,Iceland,"General economic, commercial and labour affairs",53.718,0.59517
2000,Iceland,Other industries,5.962,0.06605
2000,Iceland,RandD Economic affairs,56.049,0.62099
2000,Iceland,Economic affairs n.e.c.,4.424,0.04901
2000,Indonesia,Total function,,
2000,Indonesia,"Agriculture, forestry, fishing and hunting",,
2000,Indonesia,"Mining, manufacturing and construction",,
2000,Indonesia,Transport,,
2000,Indonesia,Communication,,
2000,Indonesia,Fuel and energy,,
2000,Indonesia,Environment protection,,
2000,Indonesia,Housing and community amenities,,
2000,Indonesia,Health,,
2000,Indonesia,Education,,
2000,Indonesia,Social protection,,
2000,Indonesia,General public services,,
2000,Indonesia,Defence,,
2000,Indonesia,Public order and safety,,
2000,Indonesia,"Recreation, culture and religion",,
2000,Indonesia,"General economic, commercial and labour affairs",,
2000,Indonesia,Other industries,,
2000,Indonesia,RandD Economic affairs,,
2000,Indonesia,Economic affairs n.e.c.,,
2000,Indonesia,Others,,
2000,Ireland,Total function,30631.315,30.64396
2000,Ireland,"Agriculture, forestry, fishing and hunting",831.168,0.83151
2000,Ireland,"Mining, manufacturing and construction",179.476,0.17955
2000,Ireland,Transport,1871.378,1.87215
2000,Ireland,Communication,40.251,0.04027
2000,Ireland,Fuel and energy,13.891,0.0139
2000,Ireland,Environment protection,743.637,0.74394
2000,Ireland,Housing and community amenities,1081.901,1.08235
2000,Ireland,Health,4878.429,4.88044
2000,Ireland,Education,3963.351,3.96499
2000,Ireland,Social protection,9573.678,9.57763
2000,Ireland,General public services,4174.442,4.17617
2000,Ireland,Defence,515.191,0.5154
2000,Ireland,Public order and safety,1498.534,1.49915
2000,Ireland,"Recreation, culture and religion",561.529,0.56176
2000,Ireland,"General economic, commercial and labour affairs",311.756,0.31188
2000,Ireland,Other industries,172.789,0.17286
2000,Ireland,RandD Economic affairs,160.995,0.16106
2000,Ireland,Economic affairs n.e.c.,58.917,0.05894
2000,Israel,Total function,60264.45,45.49822
2000,Israel,Environment protection,719.858,0.54348
2000,Israel,Housing and community amenities,308.464,0.23288
2000,Israel,Health,6620.616,4.99841
2000,Israel,Education,9366.122,7.0712
2000,Israel,Social protection,15065.096,11.37379
2000,Israel,General public services,10647.13,8.03833
2000,Israel,Defence,10074.138,7.60573
2000,Israel,Public order and safety,1950.228,1.47238
2000,Israel,"Recreation, culture and religion",1834.076,1.38468
2000,Italy,Total function,533613.456,46.65151
2000,Italy,Environment protection,8785.403,0.76807
2000,Italy,Housing and community amenities,7647.789,0.66861
2000,Italy,Health,66767.951,5.83723
2000,Italy,Education,49722.682,4.34704
2000,Italy,Social protection,192438.369,16.82405
2000,Italy,General public services,121155.8,10.59213
2000,Italy,Defence,12818.819,1.12069
2000,Italy,Public order and safety,22694.084,1.98405
2000,Italy,"Recreation, culture and religion",8267.625,0.7228
2000,Kazakhstan,Total function,4053.815,22.16169
2000,Kazakhstan,Environment protection,17.545,0.09592
2000,Kazakhstan,Housing and community amenities,155.532,0.85027
2000,Kazakhstan,Health,382.197,2.08942
2000,Kazakhstan,Education,595.696,3.2566
2000,Kazakhstan,Social protection,1203.552,6.57966
2000,Kazakhstan,General public services,497.101,2.71759
2000,Kazakhstan,Defence,143.38,0.78384
2000,Kazakhstan,Public order and safety,335.869,1.83615
2000,Kazakhstan,"Recreation, culture and religion",123.035,0.67262
2000,"Korea, Republic of",Total function,135860.045,23.57947
2000,"Korea, Republic of",Environment protection,4475.202,0.7767
2000,"Korea, Republic of",Housing and community amenities,6568.247,1.13997
2000,"Korea, Republic of",Health,11222.064,1.94767
2000,"Korea, Republic of",Education,21596.7,3.74826
2000,"Korea, Republic of",Social protection,18862.975,3.2738
2000,"Korea, Republic of",General public services,19634.321,3.40767
2000,"Korea, Republic of",Defence,13164.007,2.28471
2000,"Korea, Republic of",Public order and safety,5725.862,0.99376
2000,"Korea, Republic of","Recreation, culture and religion",3475.876,0.60326
2000,Latvia,Total function,2354.852,29.58686
2000,Latvia,Environment protection,21.529,0.2705
2000,Latvia,Housing and community amenities,90.773,1.14049
2000,Latvia,Health,244.804,3.07576
2000,Latvia,Education,343.427,4.31489
2000,Latvia,Social protection,826.033,10.37845
2000,Latvia,General public services,267.164,3.35671
2000,Latvia,Defence,53.385,0.67074
2000,Latvia,Public order and safety,148.951,1.87145
2000,Latvia,"Recreation, culture and religion",79.394,0.99752
2000,Lithuania,Total function,4864.067,42.20458
2000,Lithuania,"Agriculture, forestry, fishing and hunting",269.889,2.34177
2000,Lithuania,"Mining, manufacturing and construction",16.062,0.13936
2000,Lithuania,Transport,375.375,3.25705
2000,Lithuania,Communication,2.448,0.02124
2000,Lithuania,Fuel and energy,1.699,0.01475
2000,Lithuania,Environment protection,12.949,0.11236
2000,Lithuania,Housing and community amenities,47.954,0.41609
2000,Lithuania,Health,610.194,5.29454
2000,Lithuania,Education,736.563,6.39101
2000,Lithuania,Social protection,1546.663,13.4201
2000,Lithuania,General public services,675.65,5.86249
2000,Lithuania,Defence,150.032,1.3018
2000,Lithuania,Public order and safety,249.551,2.16531
2000,Lithuania,"Recreation, culture and religion",113.17,0.98196
2000,Lithuania,"General economic, commercial and labour affairs",36.649,0.318
2000,Lithuania,Other industries,9.476,0.08222
2000,Lithuania,RandD Economic affairs,0,0
2000,Lithuania,Economic affairs n.e.c.,9.735,0.08447
2000,Luxembourg,Total function,8063.572,38.07621
2000,Luxembourg,"Agriculture, forestry, fishing and hunting",87.134,0.41145
2000,Luxembourg,"Mining, manufacturing and construction",18.749,0.08853
2000,Luxembourg,Transport,869.433,4.10547
2000,Luxembourg,Communication,6.992,0.03302
2000,Luxembourg,Fuel and energy,38.579,0.18217
2000,Luxembourg,Environment protection,160.625,0.75847
2000,Luxembourg,Housing and community amenities,154.299,0.7286
2000,Luxembourg,Health,923.548,4.361
2000,Luxembourg,Education,900.254,4.251
2000,Luxembourg,Social protection,3144.347,14.84761
2000,Luxembourg,General public services,1139.027,5.37849
2000,Luxembourg,Defence,50.309,0.23756
2000,Luxembourg,Public order and safety,187.669,0.88617
2000,Luxembourg,"Recreation, culture and religion",223.884,1.05718
2000,Luxembourg,"General economic, commercial and labour affairs",93.83,0.44306
2000,Luxembourg,Other industries,22,0.10389
2000,Luxembourg,RandD Economic affairs,38.542,0.182
2000,Luxembourg,Economic affairs n.e.c.,4.341,0.0205
2000,Malaysia,Total function,20260.421,21.60196
2000,Maldives,Total function,232.787,26.26706
2000,Maldives,"Agriculture, forestry, fishing and hunting",4.053,0.45729
2000,Maldives,"Mining, manufacturing and construction",0.518,0.05848
2000,Maldives,Transport,14.503,1.63648
2000,Maldives,Fuel and energy,6.483,0.73148
2000,Maldives,Environment protection,0,0
2000,Maldives,Housing and community amenities,18.955,2.13883
2000,Maldives,Health,25.421,2.86839
2000,Maldives,Education,45.981,5.18841
2000,Maldives,Social protection,6.542,0.73819
2000,Maldives,General public services,69.839,7.88041
2000,Maldives,Defence,31.997,3.61041
2000,Maldives,Public order and safety,6.143,0.69313
2000,Maldives,"Recreation, culture and religion",0,0
2000,Maldives,Economic affairs n.e.c.,1.13,0.12751
2000,Maldives,Others,9.04,1.02004
2000,Malta,Total function,1536.429,37.75559
2000,Malta,Environment protection,28.632,0.70359
2000,Malta,Housing and community amenities,45.626,1.12121
2000,Malta,Health,181.213,4.45305
2000,Malta,Education,197.468,4.85251
2000,Malta,Social protection,473.444,11.63421
2000,Malta,General public services,284.657,6.99505
2000,Malta,Defence,26.508,0.65139
2000,Malta,Public order and safety,58.188,1.42988
2000,Malta,"Recreation, culture and religion",20.689,0.5084
2000,Mongolia,Total function,279.188,21.17903
2000,Mongolia,Housing and community amenities,6.495,0.4927
2000,Mongolia,Health,42.68,3.23764
2000,Mongolia,Education,76.262,5.7852
2000,Mongolia,Social protection,70.634,5.35823
2000,Mongolia,General public services,39.151,2.96994
2000,Mongolia,"Recreation, culture and religion",13.294,1.00847
2000,Netherlands (Kingdom of the),Total function,176899.512,42.47874
2000,Netherlands (Kingdom of the),"Agriculture, forestry, fishing and hunting",1323.537,0.31782
2000,Netherlands (Kingdom of the),"Mining, manufacturing and construction",401.771,0.09648
2000,Netherlands (Kingdom of the),Transport,10089.543,2.42279
2000,Netherlands (Kingdom of the),Communication,71.118,0.01708
2000,Netherlands (Kingdom of the),Fuel and energy,1241.335,0.29808
2000,Netherlands (Kingdom of the),Environment protection,6259.322,1.50305
2000,Netherlands (Kingdom of the),Housing and community amenities,2389.386,0.57376
2000,Netherlands (Kingdom of the),Health,19331.211,4.64199
2000,Netherlands (Kingdom of the),Education,19385.704,4.65507
2000,Netherlands (Kingdom of the),Social protection,61744.423,14.82664
2000,Netherlands (Kingdom of the),General public services,29430.914,7.06722
2000,Netherlands (Kingdom of the),Defence,6102.308,1.46534
2000,Netherlands (Kingdom of the),Public order and safety,6199.287,1.48863
2000,Netherlands (Kingdom of the),"Recreation, culture and religion",5389.279,1.29412
2000,Netherlands (Kingdom of the),"General economic, commercial and labour affairs",4137.784,0.9936
2000,Netherlands (Kingdom of the),Other industries,1166.523,0.28012
2000,Netherlands (Kingdom of the),RandD Economic affairs,1712.378,0.41119
2000,Netherlands (Kingdom of the),Economic affairs n.e.c.,523.688,0.12575
2000,Norway,Total function,72649.909,42.42422
2000,Norway,"Agriculture, forestry, fishing and hunting",1748.043,1.02078
2000,Norway,"Mining, manufacturing and construction",189.165,0.11046
2000,Norway,Transport,4691.064,2.73937
2000,Norway,Communication,25.449,0.01486
2000,Norway,Fuel and energy,132.7,0.07749
2000,Norway,Environment protection,1216.791,0.71055
2000,Norway,Housing and community amenities,924.352,0.53978
2000,Norway,Health,11740.043,6.85565
2000,Norway,Education,8917.793,5.20758
2000,Norway,Social protection,26662.829,15.56987
2000,Norway,General public services,7667.145,4.47726
2000,Norway,Defence,3174.449,1.85373
2000,Norway,Public order and safety,1667.833,0.97394
2000,Norway,"Recreation, culture and religion",2211.696,1.29153
2000,Norway,"General economic, commercial and labour affairs",1035.238,0.60453
2000,Norway,Other industries,117.816,0.0688
2000,Norway,RandD Economic affairs,516.824,0.3018
2000,Norway,Economic affairs n.e.c.,10.68,0.00624
2000,Panama,Total function,2329.32,19.72662
2000,Panama,"Agriculture, forestry, fishing and hunting",78.99,0.66895
2000,Panama,"Mining, manufacturing and construction",3.05,0.02583
2000,Panama,Transport,110.7,0.9375
2000,Panama,Fuel and energy,0.71,0.00601
2000,Panama,Housing and community amenities,145.57,1.23281
2000,Panama,Health,237.28,2.00948
2000,Panama,Education,466.54,3.95105
2000,Panama,Social protection,203.34,1.72205
2000,Panama,General public services,982.85,8.32359
2000,Panama,Public order and safety,73.56,0.62297
2000,Panama,Economic affairs n.e.c.,26.74,0.22646
2000,Peru,Total function,10764.278,20.80324
2000,Peru,"Agriculture, forestry, fishing and hunting",388.613,0.75104
2000,Peru,"Mining, manufacturing and construction",36.441,0.07043
2000,Peru,Transport,397.871,0.76893
2000,Peru,Communication,18.736,0.03621
2000,Peru,Fuel and energy,76.266,0.14739
2000,Peru,Housing and community amenities,42.971,0.08305
2000,Peru,Health,835.206,1.61414
2000,Peru,Education,1550.473,2.99647
2000,Peru,Social protection,2263.951,4.37535
2000,Peru,General public services,3401.507,6.57382
2000,Peru,Defence,1537.593,2.97158
2000,Peru,Public order and safety,201.39,0.38921
2000,Peru,"General economic, commercial and labour affairs",13.255,0.02562
2000,Philippines,Total function,15442.979,18.45706
2000,Philippines,Housing and community amenities,187.25,0.2238
2000,Philippines,Health,331.687,0.39642
2000,Philippines,Education,2643.608,3.15957
2000,Philippines,Social protection,1656.897,1.98028
2000,Philippines,General public services,4952.837,5.9195
2000,Philippines,Defence,819.329,0.97924
2000,Philippines,Public order and safety,1067.54,1.2759
2000,Poland,Total function,74126.655,43.04173
2000,Poland,Environment protection,927.273,0.53842
2000,Poland,Housing and community amenities,2357.299,1.36877
2000,Poland,Health,6644.616,3.8582
2000,Poland,Education,9728.778,5.64903
2000,Poland,Social protection,30442.641,17.67655
2000,Poland,General public services,10365.445,6.01871
2000,Poland,Defence,2377.317,1.38039
2000,Poland,Public order and safety,3049.418,1.77065
2000,Poland,"Recreation, culture and religion",1400.344,0.81311
2000,Portugal,Total function,50598.534,42.76753
2000,Portugal,"Agriculture, forestry, fishing and hunting",840.663,0.71056
2000,Portugal,"Mining, manufacturing and construction",614.452,0.51935
2000,Portugal,Transport,2756.549,2.32993
2000,Portugal,Communication,66.851,0.0565
2000,Portugal,Fuel and energy,21.326,0.01803
2000,Portugal,Environment protection,794.325,0.67139
2000,Portugal,Housing and community amenities,1223.214,1.0339
2000,Portugal,Health,7441.057,6.28942
2000,Portugal,Education,7459.03,6.30462
2000,Portugal,Social protection,14689.762,12.41627
2000,Portugal,General public services,7465.8,6.31034
2000,Portugal,Defence,1853.515,1.56665
2000,Portugal,Public order and safety,2057.088,1.73872
2000,Portugal,"Recreation, culture and religion",1521.605,1.28611
2000,Portugal,"General economic, commercial and labour affairs",858.23,0.7254
2000,Portugal,Other industries,531.336,0.4491
2000,Portugal,RandD Economic affairs,403.73,0.34125
2000,Romania,Total function,14354.554,38.53185
